char_ar,char_en,char1_ar,char2_ar,char3_ar,char1_en,char2_en,char3_en,plate_no,price,ribbon
د د و,U D D,د,د,و,D,D,U,2,80000,ذهبي
ن م ا,A Z N,ن,م,ا,N,Z,A,4,65000,ذهبي
د هـ م,Z H D,د,هـ,م,D,H,Z,10,25000,برونزي
ع ل م,Z L E,ع,ل,م,E,L,Z,46,26000,برونزي
ق م ح,J Z G,ق,م,ح,G,Z,J,88,26000,فضي
ر و ر,R U R,ر,و,ر,R,U,R,1000,14000,برونزي
ر هـ ى,V H R,ر,هـ,ى,R,H,V,1111,19000,فضي
ر و ب,B U R,ر,و,ب,R,U,B,2000,7000,برونزي
ر و ا,A U R,ر,و,ا,R,U,A,2222,15000,فضي
ر ن ص,X N R,ر,ن,ص,R,N,X,3000,5000,برونزي
ر ن ل,L N R,ر,ن,ل,R,N,L,3333,13000,فضي
د د د,D D D,د,د,د,D,D,D,3616,4000,برونزي
د د د,D D D,د,د,د,D,D,D,3621,3500,برونزي
د د د,D D D,د,د,د,D,D,D,3625,3500,برونزي
ر هـ ع,E H R,ر,هـ,ع,R,H,E,4000,6000,برونزي
ر و ص,X U R,ر,و,ص,R,U,X,4444,14000,فضي
ب ب ب,B B B,ب,ب,ب,B,B,B,4701,4000,برونزي
ب ب ب,B B B,ب,ب,ب,B,B,B,4726,3000,برونزي
ب ب ب,B B B,ب,ب,ب,B,B,B,4728,3500,برونزي
ر و د,D U R,ر,و,د,R,U,D,5000,9000,برونزي
ر ص ب,B X R,ر,ص,ب,R,X,B,5555,13000,فضي
ر ن ن,N N R,ر,ن,ن,R,N,N,6000,10000,برونزي
ح ح ح,J J J,ح,ح,ح,J,J,J,6504,3500,برونزي
ح ح ح,J J J,ح,ح,ح,J,J,J,6513,3500,برونزي
ح ح ح,J J J,ح,ح,ح,J,J,J,6520,3000,برونزي
ر ل ك,K L R,ر,ل,ك,R,L,K,6666,15000,فضي
ر هـ ا,A H R,ر,هـ,ا,R,H,A,7000,10000,برونزي
ا ا ا,A A A,ا,ا,ا,A,A,A,7544,9000,برونزي
ا ا ا,A A A,ا,ا,ا,A,A,A,7546,3500,برونزي
ا ا ا,A A A,ا,ا,ا,A,A,A,7550,9000,برونزي
ر هـ ص,X H R,ر,هـ,ص,R,H,X,7777,14000,فضي
ر هـ م,Z H R,ر,هـ,م,R,H,Z,8000,9500,برونزي
ر ك ق,G K R,ر,ك,ق,R,K,G,8888,14000,فضي
ر ب هـ,H B R,ر,ب,هـ,R,B,H,9000,7000,برونزي
ر م ك,K Z R,ر,م,ك,R,Z,K,9999,17000,فضي
