"ribbon","plateNumber","plateNumberAr","plateNumber 2","plateNumberEn","sortAmount"
"برونزي","۳١","هـ ى ا","31","A V H","46500"
"برونزي","٦١","ر هـ ب","61","B H R","21500"
"برونزي","٦۹","ع ى ن","69","N V E","43500"
"برونزي","۷٢","ا ن ا","72","A N A","47500"
"برونزي","١۰۰۰","ر هـ ى","1000","V H R","13500"
"فضي","١١١١","ر و ل","1111","L U R","50000"
"برونزي","٢۰۰۰","ر ل و","2000","U L R","10500"
"برونزي","٥۰۰۰","ر هـ د","5000","D H R","13000"
"فضي","٥٥٥٥","ر هـ ر","5555","R H R","36000"
"برونزي","٦٢۳٥","ا ا ا","6235","A A A","9000"
"برونزي","٦٤۰٤","ا ا ا","6404","A A A","10000"
"برونزي","٦٥٢۷","ح ح ح","6527","J J J","6500"
"برونزي","٦٥٢۹","ح ح ح","6529","J J J","6000"
"فضي","٦٦٦٦","ر ح ح","6666","J J R","34000"
"برونزي","٦۹٥٦","ا ا ا","6956","A A A","10000"
"برونزي","۷۰۰۰","ر هـ ب","7000","B H R","15000"
"فضي","۷۷۷۷","ر ن م","7777","Z N R","27000"
"برونزي","۸٦٤٤","ب ب ب","8644","B B B","8000"
"برونزي","۹۰۰۰","ر هـ هـ","9000","H H R","14000"
