"plateNumber","plateNumberAr","plateNumber 2","plateNumberEn","simply-amount 2","sortAmount"
"۷١","س ن د","71","D N S","00","30000"
"٢١۰","م م و","210","U Z Z","00","6500"
"۹۰۰۹","ب ب ط","9009","T B B","00","4500"
"۷۳۳٦","أ م ن","7336","N Z A","02","5500"
"۸۸۰","ك ط ه","880","H T K","00","4500"
"۹۹٤٤","ح ح س","9944","S J J","00","4600"
"٢۳۸۷","أ أ أ","2387","A A A","00","4500"
"١۷۷۸","د ر ه","1778","H R D","00","3000"
"۳۷۳۸","ب ط ل","3738","L T B","00","5500"
"۹٥","ي ح ب","95","B J V","00","20500"
"٢١۳٦","ر ع ب","2136","B E R","01","4800"
"١۷۷١","ب ط ل","1771","L T B","00","9900"
"۹٥۹۰","ح ص ه","9590","H X J","01","6500"
"٤","ب ع و","4","U E B","00","52000"
"٥٥٥٥","ح ح ر","5555","R J J","15","26000"
"۹۰","ك ص ر","90","R X K","00","16000"
"٤۹","ع ل ي","49","V L E","00","80500"
"۷٦","ه ل ه","76","H L H","00","19500"
"٦٤","ب ب م","64","Z B B","00","12500"
"١۹","ه ع و","19","U E H","02","13000"
"٥٥۷","ل ل ه","557","H L L","02","9500"
"۹۰۰","ق ي ط","900","T V G","01","7000"
"٢١١١","ر ن ي","2111","V N R","00","3500"
"۸٤٤٤","ح ن ه","8444","H N J","00","3500"
"٦٦٤٤","ح ه ط","6644","T H J","00","1500"
"٢٦٢","و ي ل","262","L V U","00","9500"
"۳۰٥","ه ر ي","305","V R H","02","12500"
"۳۳۹۳","س ع د","3393","D E S","00","17000"
"٤٤۰٤","أ س د","4404","D S A","00","15499"
"٦٥٥٦","ب ط ر","6556","R T B","01","4500"
"۹۷۹۹","ر ر ق","9799","G R R","02","1500"
"۷۷٢۷","د ل م","7727","Z L D","02","4000"
"٤","ع ب ه","4","H B E","00","55000"
"۹","ن د أ","9","A D N","00","140000"
"٢","ه ب د","2","D B H","02","100000"
"۷","ص ص ط","7","T X X","02","82500"
"١١","ط أ ك","11","K A T","01","35000"
"٦٦","ن ط ع","66","E T N","02","28000"
"۸۸۸","ي ط ه","888","H T V","00","20000"
"۹۹۹","ه ط ص","999","X T H","23","21000"
"٥٦","ع ن د","56","D N E","00","35000"
"١٢","ل ي م","12","Z V L","00","25000"
"۹۰","ه د و","90","U D H","00","34500"
"٦٤","ع ك ص","64","X K E","01","8000"
"٦۹","ر ي ن","69","N V R","02","59000"
"۷۰۰","و ع ن","700","N E U","00","9900"
"٢٢٢٥","ر ك ط","2225","T K R","00","2200"
"٤٤٤۷","أ ص م","4447","Z X A","02","3000"
"۷۷۷۹","د م ص","7779","X Z D","02","4000"
"٢۰۰۰","د ك ر","2000","R K D","01","11000"
"۳۰۰۰","ر ن أ","3000","A N R","01","25000"
"٥۷۷۷","ر أ د","5777","D A R","00","7000"
"۳٥۰","د ح م","350","Z J D","00","25000"
"٥١٥","س ع و","515","U E S","00","50000"
"٥٢۷","ك ن ق","527","G N K","01","10500"
"٤۰٤","ق و ع","404","E U G","01","10600"
"۳٥۰","أ ن ي","350","V N A","02","20000"
"٦٤۰","أ ح ب","640","B J A","02","14500"
"۹۰١","ح م د","901","D Z J","02","25000"
"٢۰۷۹","ح ح ح","2079","J J J","00","7700"
"۹۷۹۸","ر ن أ","9798","A N R","00","8500"
"۳۳۷۳","أ ع ح","3373","J E A","00","2000"
"١٥١٥","ر ن د","1515","D N R","00","16200"
"١۹۸۹","ر ب ع","1989","E B R","00","9000"
"٥۰۳۸","ر س ل","5038","L S R","01","1000"
"۸۸٦١","ح ك ك","8861","K K J","02","1500"
"۹۰٢٢","ر ن و","9022","U N R","02","2950"
"۷٥۷۷","ح د ن","7577","N D J","03","6700"
"٤۷۳۳","أ س د","4733","D S A","04","5900"
"٥٥١۹","د و ك","5519","K U D","19","4000"
